run_id,timestamp,commit_sha,config_hash,model,seed,rounds,broadcasts,coverage,correct_edges,false_edges,total_gt_edges,mission_score,norm_score,runtime_s,logfile
20251116-135846-87-da650b,2025-11-16T13:58:46.677678,79158238a610e39334818ac86592c2692730fde0,33f833ed53,llama3.1:8b,87,32,1,0.375,36,0,61,36,0.59016,69.6,logs\simulation_2025-11-16.log
20251116-140007-88-b93727,2025-11-16T14:00:07.537553,79158238a610e39334818ac86592c2692730fde0,2e3ee8b8a0,llama3.1:8b,88,32,0,0.4844,36,0,53,36,0.67925,80.84,logs\simulation_2025-11-16.log
20251116-140117-89-f606f8,2025-11-16T14:01:17.138389,79158238a610e39334818ac86592c2692730fde0,ef195536d7,llama3.1:8b,89,32,2,0.2812,23,0,60,23,0.38333,69.58,logs\simulation_2025-11-16.log
20251116-140216-90-d9b8b6,2025-11-16T14:02:16.957813,79158238a610e39334818ac86592c2692730fde0,5f7034854f,llama3.1:8b,90,32,1,0.0469,2,0,53,2,0.03774,59.8,logs\simulation_2025-11-16.log
20251116-140354-91-c20f85,2025-11-16T14:03:54.807298,79158238a610e39334818ac86592c2692730fde0,61a89a1691,llama3.1:8b,91,32,2,0.5312,35,0,57,35,0.61404,97.83,logs\simulation_2025-11-16.log
20251116-140500-92-c3852f,2025-11-16T14:05:00.736891,79158238a610e39334818ac86592c2692730fde0,cd0669e355,llama3.1:8b,92,32,4,0.1094,3,0,63,3,0.04762,65.9,logs\simulation_2025-11-16.log
20251116-140616-93-5e3099,2025-11-16T14:06:16.106908,79158238a610e39334818ac86592c2692730fde0,2cc2dd6e86,llama3.1:8b,93,32,2,0.4844,38,0,57,38,0.66667,75.35,logs\simulation_2025-11-16.log
20251116-140804-94-080cdb,2025-11-16T14:08:04.656469,79158238a610e39334818ac86592c2692730fde0,a1257c6c0a,llama3.1:8b,94,32,1,0.4844,54,0,72,54,0.75,108.53,logs\simulation_2025-11-16.log
20251116-140922-95-f16850,2025-11-16T14:09:22.286885,79158238a610e39334818ac86592c2692730fde0,d668a9b402,llama3.1:8b,95,32,1,0.5781,45,0,63,45,0.71429,77.61,logs\simulation_2025-11-16.log
20251116-141033-96-72c9da,2025-11-16T14:10:33.426797,79158238a610e39334818ac86592c2692730fde0,1e0b85d009,llama3.1:8b,96,32,0,0.4531,30,0,64,30,0.46875,71.12,logs\simulation_2025-11-16.log
20251116-141143-97-c610d2,2025-11-16T14:11:43.679029,79158238a610e39334818ac86592c2692730fde0,d7237d89ac,llama3.1:8b,97,32,0,0.4688,36,0,63,36,0.57143,70.23,logs\simulation_2025-11-16.log
20251116-141300-98-fa3fdf,2025-11-16T14:13:00.667206,79158238a610e39334818ac86592c2692730fde0,d047d93388,llama3.1:8b,98,32,1,0.3594,27,0,58,27,0.46552,76.96,logs\simulation_2025-11-16.log
20251116-141403-99-ab036f,2025-11-16T14:14:03.558984,79158238a610e39334818ac86592c2692730fde0,ba3f9ae02c,llama3.1:8b,99,32,1,0.1562,12,0,52,12,0.23077,62.87,logs\simulation_2025-11-16.log
20251116-172522-0-bd97bd,2025-11-16T17:25:22.176753,79158238a610e39334818ac86592c2692730fde0,2208330c36,llama3.1:8b,0,32,1,0.3125,24,0,59,24,0.40678,68.1,logs\simulation_2025-11-16.log
20251116-180106-0-58dcf3,2025-11-16T18:01:06.840579,79158238a610e39334818ac86592c2692730fde0,c55cac02e8,llama3.1:8b,0,32,2,0.1875,10,0,59,10,0.16949,65.08,logs\simulation_2025-11-16.log
20251116-180233-0-1def16,2025-11-16T18:02:33.067597,79158238a610e39334818ac86592c2692730fde0,d63f5e9078,llama3.1:8b,0,32,2,0.3438,21,0,59,21,0.35593,74.95,logs\simulation_2025-11-16.log
20251116-180340-1-256318,2025-11-16T18:03:40.918041,79158238a610e39334818ac86592c2692730fde0,f754a0f244,llama3.1:8b,1,32,2,0.3594,15,0,63,15,0.2381,67.83,logs\simulation_2025-11-16.log
20251116-180508-2-107fa9,2025-11-16T18:05:08.149809,79158238a610e39334818ac86592c2692730fde0,8dd4a5e473,llama3.1:8b,2,32,2,0.4688,36,0,61,36,0.59016,87.21,logs\simulation_2025-11-16.log
20251116-180616-3-8cbf18,2025-11-16T18:06:16.197036,79158238a610e39334818ac86592c2692730fde0,7954ed39b9,llama3.1:8b,3,32,2,0.5312,40,0,66,40,0.60606,68.02,logs\simulation_2025-11-16.log
20251116-181004-0-352c46,2025-11-16T18:10:04.598768,79158238a610e39334818ac86592c2692730fde0,42df4bf316,llama3.1:8b,0,32,2,0.3438,21,0,59,21,0.35593,73.42,logs\simulation_2025-11-16.log
20251116-183840-0-0b2d75,2025-11-16T18:38:40.607148,79158238a610e39334818ac86592c2692730fde0,af84957c34,llama3.1:8b,0,32,1,0.1875,11,0,59,11,0.18644,77.38,logs\simulation_2025-11-16.log
20251116-184038-0-44f8b0,2025-11-16T18:40:38.118066,79158238a610e39334818ac86592c2692730fde0,92a0b56ab7,llama3.1:8b,0,32,1,0.1875,11,0,59,11,0.18644,68.2,logs\simulation_2025-11-16.log
20251116-184054-0-d2618e,2025-11-16T18:40:54.408464,79158238a610e39334818ac86592c2692730fde0,fd5cc0a6fa,llama3.1:8b,0,6,1,0.125,8,0,59,8,0.13559,10.23,logs\simulation_2025-11-16.log
